Wall time,Step,Value
1775988149.5933464,55750,2.2546701431274414
1775988150.246814,56370,4.991743087768555
1775988150.924891,57000,2.0902092456817627
1775988151.603349,57620,2.492805004119873
1775988152.2721531,58240,1.7636457681655884
1775988152.956383,58855,2.6456456184387207
1775988153.6365113,59480,1.8312251567840576
1775988154.2889462,60090,1.5147274732589722
1775988154.9391317,60705,1.6235616207122803
1775988155.5869558,61325,1.5708198547363281
1775988156.2237153,61945,4.101222515106201
1775988156.8542914,62555,1.250870704650879
1775988157.5482213,63175,3.962979316711426
1775988158.196547,63800,3.5490307807922363
1775988158.8445325,64415,1.3586857318878174
1775988159.513473,65030,1.6056264638900757
1775988160.1991081,65645,1.1704634428024292
1775988160.8579268,66265,0.8746779561042786
1775988161.5301805,66885,1.3728452920913696
1775988162.180804,67505,1.2746695280075073
1775988162.8633304,68120,1.4948346614837646
1775988163.5349245,68735,1.1388084888458252
1775988164.2022753,69345,0.389270544052124
1775988164.8898656,69970,1.232173204421997
1775988165.5391386,70595,0.9579276442527771
1775988166.1813977,71215,0.6291330456733704
1775988166.8248868,71830,0.5697306394577026
1775988167.472304,72450,0.22599516808986664
1775988168.1515691,73080,0.2593006193637848
1775988168.8149447,73710,0.3502587378025055
1775988169.4767714,74325,0.8895143270492554
1775988170.1169815,74950,0.6518881916999817
1775988170.7489421,75565,0.5437186360359192
1775988171.3769097,76175,0.7466406226158142
1775988172.0274832,76780,0.37540194392204285
1775988172.6834354,77400,1.2539359331130981
1775988173.3502135,78010,0.4330386817455292
1775988174.020824,78635,0.23742155730724335
1775988174.6909645,79255,0.13844703137874603
1775988175.3757238,79875,0.4698149263858795
1775988176.017114,80490,0.2586270272731781
1775988176.645666,81110,0.4513642191886902
1775988177.296994,81730,0.4378528892993927
1775988177.960282,82350,0.27563995122909546
1775988178.603318,82965,0.15257146954536438
1775988179.228361,83575,0.10761933028697968
1775988179.8540843,84190,0.214158833026886
1775988180.4949267,84805,0.4800427258014679
1775988181.1545205,85415,0.4074213206768036
1775988181.8314495,86035,0.5326182842254639
1775988182.523563,86650,0.1978500485420227
1775988183.2217524,87270,0.22264109551906586
1775988183.8965402,87895,0.16142189502716064
1775988184.566289,88510,0.049100909382104874
1775988185.2428074,89140,0.042126670479774475
1775988185.8842247,89755,0.05003543943166733
1775988186.5666451,90375,0.042027827352285385
1775988187.2117393,90995,0.043290186673402786
1775988187.858006,91610,0.18699446320533752
1775988188.4948282,92220,0.14025329053401947
1775988189.1143446,92830,0.0452735535800457
1775988189.761401,93450,0.35435858368873596
1775988190.422857,94075,0.0848022922873497
1775988191.0682383,94695,0.2452782839536667
1775988191.7217247,95310,0.03244985267519951
1775988192.407556,95940,0.017407748848199844
1775988193.0938635,96555,0.041314855217933655
1775988193.7542229,97175,0.0409492664039135
1775988194.421439,97790,0.2164154201745987
1775988195.113703,98415,0.02585543319582939
1775988195.7899766,99035,0.053100451827049255
1775988196.420846,99650,0.033438488841056824
