Wall time,Step,Value
1775909541.822092,94130,-7.675085067749023
1775909542.2115178,94740,-7.850888252258301
1775909542.6111114,95350,-9.382133483886719
1775909543.0247955,95960,-7.3094282150268555
1775909543.4200518,96570,-7.051698207855225
1775909543.8165061,97180,-4.583247184753418
1775909544.2197607,97790,-6.0354390144348145
1775909544.664115,98400,-6.129658222198486
1775909545.070444,99010,-6.782953262329102
1775909545.4699671,99620,-6.949862480163574
